Data;Close;;;;;
20.06.2024;20.61;;;;;
19.06.2024;20.57;;;;;
18.06.2024;20.45;;;;;
17.06.2024;20.75;;;;;
14.06.2024;21.3;;;;;
13.06.2024;21.16;;;;;
12.06.2024;21.88;;;;;
11.06.2024;21.2;;;;;
10.06.2024;22.15;;;;;
07.06.2024;22.4;;;;;
06.06.2024;22.4;;;;;
05.06.2024;22.44;;;;;
04.06.2024;21.91;;;;;
03.06.2024;21.66;;;;;
31.05.2024;21.14;;;;;
30.05.2024;21.51;;;;;
29.05.2024;21.22;;;;;
28.05.2024;21.32;;;;;
27.05.2024;22;;;;;
24.05.2024;21.44;;;;;
23.05.2024;21.44;;;;;
22.05.2024;22.06;;;;;
21.05.2024;22.08;;;;;
20.05.2024;21.07;;;;;
17.05.2024;21.11;;;;;
16.05.2024;20.66;;;;;
15.05.2024;20.32;;;;;
14.05.2024;19.48;;;;;
13.05.2024;19.88;;;;;
10.05.2024;19.38;;;;;
09.05.2024;19.61;;;;;
08.05.2024;19.77;;;;;
07.05.2024;20.12;;;;;
06.05.2024;20.06;;;;;
03.05.2024;19.48;;;;;
02.05.2024;18.88;;;;;
30.04.2024;19.46;;;;;
29.04.2024;20;;;;;
26.04.2024;20.21;;;;;
25.04.2024;20.26;;;;;
24.04.2024;20.72;;;;;
23.04.2024;21.2;;;;;
22.04.2024;21.12;;;;;
19.04.2024;20.69;;;;;
18.04.2024;20.41;;;;;
17.04.2024;19.3;;;;;
16.04.2024;20;;;;;
15.04.2024;20.72;;;;;
12.04.2024;22.32;;;;;
11.04.2024;22.26;;;;;
10.04.2024;21.84;;;;;
09.04.2024;21.72;;;;;
08.04.2024;22.53;;;;;
05.04.2024;21.37;;;;;
04.04.2024;21.23;;;;;
03.04.2024;20.79;;;;;
02.04.2024;20.89;;;;;
28.03.2024;22.45;;;;;
27.03.2024;21.83;;;;;
26.03.2024;21.93;;;;;
25.03.2024;22;;;;;
22.03.2024;20;;;;;
21.03.2024;20.92;;;;;
20.03.2024;19.68;;;;;
19.03.2024;20.25;;;;;
18.03.2024;21.3;;;;;
15.03.2024;21.38;;;;;
14.03.2024;22.14;;;;;
13.03.2024;22.7;;;;;
12.03.2024;22.22;;;;;
11.03.2024;22.73;;;;;
08.03.2024;20.8;;;;;
07.03.2024;21.07;;;;;
06.03.2024;20.83;;;;;
05.03.2024;20.29;;;;;
04.03.2024;20.88;;;;;
01.03.2024;19.42;;;;;
29.02.2024;19.78;;;;;
28.02.2024;19.39;;;;;
27.02.2024;17.96;;;;;
26.02.2024;16.79;;;;;
23.02.2024;16.09;;;;;
22.02.2024;16.3;;;;;
21.02.2024;16.16;;;;;
20.02.2024;16.28;;;;;
19.02.2024;16.54;;;;;
16.02.2024;16.53;;;;;
15.02.2024;16.64;;;;;
14.02.2024;16.48;;;;;
13.02.2024;15.56;;;;;
12.02.2024;15.76;;;;;
09.02.2024;15;;;;;
08.02.2024;14.36;;;;;
07.02.2024;13.68;;;;;
06.02.2024;13.77;;;;;
05.02.2024;13.62;;;;;
02.02.2024;13.71;;;;;
01.02.2024;13.38;;;;;
31.01.2024;13.69;;;;;
30.01.2024;13.69;;;;;
29.01.2024;13.64;;;;;
26.01.2024;13.23;;;;;
25.01.2024;12.58;;;;;
24.01.2024;12.55;;;;;
23.01.2024;12.31;;;;;
22.01.2024;12.7;;;;;
19.01.2024;12.67;;;;;
18.01.2024;13.3;;;;;
17.01.2024;13.36;;;;;
16.01.2024;13.61;;;;;
15.01.2024;13.27;;;;;
12.01.2024;13.67;;;;;
11.01.2024;14.56;;;;;
10.01.2024;14.18;;;;;
09.01.2024;14.68;;;;;
08.01.2024;14.06;;;;;
05.01.2024;13.58;;;;;
04.01.2024;13.73;;;;;
03.01.2024;13.6;;;;;
02.01.2024;14.17;;;;;
29.12.2023;13.28;;;;;
28.12.2023;13.15;;;;;
27.12.2023;13.31;;;;;
22.12.2023;13.59;;;;;
21.12.2023;13.57;;;;;
20.12.2023;13.77;;;;;
19.12.2023;13.33;;;;;
18.12.2023;13.04;;;;;
15.12.2023;13.23;;;;;
14.12.2023;13.27;;;;;
13.12.2023;13.32;;;;;
12.12.2023;13.13;;;;;
11.12.2023;13.28;;;;;
08.12.2023;14.03;;;;;
07.12.2023;13.93;;;;;
06.12.2023;14.01;;;;;
05.12.2023;13.49;;;;;
04.12.2023;13.13;;;;;
01.12.2023;12.31;;;;;
30.11.2023;11.85;;;;;
29.11.2023;11.8;;;;;
28.11.2023;11.76;;;;;
27.11.2023;11.59;;;;;
24.11.2023;12;;;;;
23.11.2023;11.71;;;;;
22.11.2023;11.52;;;;;
21.11.2023;11.6;;;;;
20.11.2023;11.71;;;;;
17.11.2023;11.37;;;;;
16.11.2023;11.6;;;;;
15.11.2023;11.53;;;;;
14.11.2023;11.5;;;;;
13.11.2023;11.86;;;;;
10.11.2023;12.02;;;;;
09.11.2023;11.63;;;;;
08.11.2023;11.3;;;;;
07.11.2023;11.18;;;;;
06.11.2023;11.22;;;;;
03.11.2023;11.09;;;;;
02.11.2023;11.21;;;;;
01.11.2023;11.27;;;;;
